wheel_index,slip_ratio,angular_velocity,linear_speed,current_brake_torque,current_drive_torque,desired_brake_torque,desired_drive_torque,speed_to_velocity_ratio,excess_drive_torque,slip_deviation
0,-1.0,0.0,17.243,0,3.34321,0,6.68642,17243000.0,-3.34321,-1.1
1,-1.0,0.0,17.243,0,3.34321,0,6.68642,17243000.0,-3.34321,-1.1
2,-1.0,0.0,17.243,0,3.34321,0,6.68642,17243000.0,-3.34321,-1.1
3,-1.0,0.0,17.243,0,3.34321,0,6.68642,17243000.0,-3.34321,-1.1
0,-0.844933,8.86203,17.1449,0,6.22122,0,9.09922,1.9346468095180438,-2.878000000000001,-0.944933
1,-0.844933,8.86203,17.1449,0,6.22122,0,9.09922,1.9346468095180438,-2.878000000000001,-0.944933
2,-0.844933,8.86203,17.1449,0,6.22122,0,9.09922,1.9346468095180438,-2.878000000000001,-0.944933
3,-0.844933,8.86203,17.1449,0,6.22122,0,9.09922,1.9346468095180438,-2.878000000000001,-0.944933
0,-0.687601,17.7513,17.0468,0,8.62723,0,11.0332,0.960312711727439,-2.40597,-0.787601
1,-0.687601,17.7513,17.0468,0,8.62723,0,11.0332,0.960312711727439,-2.40597,-0.787601
2,-0.687601,17.7513,17.0468,0,8.62723,0,11.0332,0.960312711727439,-2.40597,-0.787601
3,-0.687601,17.7513,17.0468,0,8.62723,0,11.0332,0.960312711727439,-2.40597,-0.787601
0,-0.528155,26.6573,16.9488,0,10.5549,0,12.4826,0.6358033020672272,-1.9276999999999997,-0.628155
1,-0.528155,26.6573,16.9488,0,10.5549,0,12.4826,0.6358033020672272,-1.9276999999999997,-0.628155
2,-0.528155,26.6573,16.9488,0,10.5549,0,12.4826,0.6358033020672272,-1.9276999999999997,-0.628155
3,-0.528155,26.6573,16.9488,0,10.5549,0,12.4826,0.6358033020672272,-1.9276999999999997,-0.628155
0,-0.367183,35.5457,16.8512,0,11.9997,0,13.4444,0.47407139333108106,-1.4446999999999992,-0.467183
1,-0.367183,35.5457,16.8512,0,11.9997,0,13.4444,0.47407139333108106,-1.4446999999999992,-0.467183
2,-0.367183,35.5457,16.8512,0,11.9997,0,13.4444,0.47407139333108106,-1.4446999999999992,-0.467183
3,-0.367183,35.5457,16.8512,0,11.9997,0,13.4444,0.47407139333108106,-1.4446999999999992,-0.467183
0,-0.207513,44.262,16.7556,0,12.9654,0,13.9312,0.3785549595916371,-0.9657999999999998,-0.30751300000000004
1,-0.207513,44.262,16.7556,0,12.9654,0,13.9312,0.3785549595916371,-0.9657999999999998,-0.30751300000000004
2,-0.207513,44.262,16.7556,0,12.9654,0,13.9312,0.3785549595916371,-0.9657999999999998,-0.30751300000000004
3,-0.207513,44.262,16.7556,0,12.9654,0,13.9312,0.3785549595916371,-0.9657999999999998,-0.30751300000000004
0,-0.0629866,52.0661,16.6698,0,13.4976,0,14.0297,0.3201660904088055,-0.5320999999999998,-0.1629866
1,-0.0629866,52.0661,16.6698,0,13.4976,0,14.0297,0.3201660904088055,-0.5320999999999998,-0.1629866
2,-0.0629866,52.0661,16.6698,0,13.4976,0,14.0297,0.3201660904088055,-0.5320999999999998,-0.1629866
